neighborhood,occur_year,occur_count
Bush Mountain,2010,39
Bush Mountain,2011,50
Bush Mountain,2012,42
Bush Mountain,2013,33
Bush Mountain,2014,28
Bush Mountain,2015,33
Bush Mountain,2016,19
Bush Mountain,2017,24
Bush Mountain,2018,18
Bush Mountain,2019,27
Bush Mountain,2020,9
Bush Mountain,2021,9
Bush Mountain,2022,1
Butner/Tell,2009,9
Butner/Tell,2010,14
Butner/Tell,2011,12
Butner/Tell,2012,10
Butner/Tell,2013,5
Butner/Tell,2014,5
Butner/Tell,2015,8
Butner/Tell,2016,7
Butner/Tell,2017,4
Butner/Tell,2018,3
Butner/Tell,2019,2
Butner/Tell,2020,3
Butner/Tell,2021,7
Butner/Tell,2022,1
Cabbagetown,2009,77
Cabbagetown,2010,68
Cabbagetown,2011,78
Cabbagetown,2012,71
Cabbagetown,2013,81
Cabbagetown,2014,45
Cabbagetown,2015,43
Cabbagetown,2016,59
Cabbagetown,2017,49
Cabbagetown,2018,34
Cabbagetown,2019,67
Cabbagetown,2020,33
Cabbagetown,2021,57
Cabbagetown,2022,9
Campbellton Road,2009,545
Campbellton Road,2010,471
Campbellton Road,2011,445
Campbellton Road,2012,388
Campbellton Road,2013,331
Campbellton Road,2014,295
Campbellton Road,2015,243
Campbellton Road,2016,265
Campbellton Road,2017,214
Campbellton Road,2018,183
Campbellton Road,2019,205
Campbellton Road,2020,226
Campbellton Road,2021,155
Campbellton Road,2022,52
Candler Park,2009,206
Candler Park,2010,120
Candler Park,2011,120
Candler Park,2012,246
Candler Park,2013,217
Candler Park,2014,224
Candler Park,2015,183
Candler Park,2016,134
Candler Park,2017,150
Candler Park,2018,136
Candler Park,2019,146
Candler Park,2020,103
Candler Park,2021,104
Candler Park,2022,36
Capitol Gateway,2009,51
Capitol Gateway,2010,68
Capitol Gateway,2011,82
Capitol Gateway,2012,89
Capitol Gateway,2013,65
Capitol Gateway,2014,58
Capitol Gateway,2015,72
Capitol Gateway,2016,64
Capitol Gateway,2017,41
Capitol Gateway,2018,32
Capitol Gateway,2019,40
Capitol Gateway,2020,33
Capitol Gateway,2021,21
Capitol Gateway,2022,5
Capitol View,2009,189
Capitol View,2010,171
Capitol View,2011,267
Capitol View,2012,235
Capitol View,2013,182
Capitol View,2014,193
Capitol View,2015,149
Capitol View,2016,145
Capitol View,2017,132
Capitol View,2018,135
Capitol View,2019,138
Capitol View,2020,93
Capitol View,2021,83
Capitol View,2022,23
Capitol View Manor,2009,49
Capitol View Manor,2010,43
Capitol View Manor,2011,47
Capitol View Manor,2012,37
Capitol View Manor,2013,42
Capitol View Manor,2014,29
Capitol View Manor,2015,26
Capitol View Manor,2016,23
Capitol View Manor,2017,27
Capitol View Manor,2018,28
Capitol View Manor,2019,47
Capitol View Manor,2020,16
Capitol View Manor,2021,15
Capitol View Manor,2022,3
Carey Park,2009,163
Carey Park,2010,172
Carey Park,2011,135
Carey Park,2012,187
Carey Park,2013,128
Carey Park,2014,148
Carey Park,2015,107
Carey Park,2016,123
Carey Park,2017,90
Carey Park,2018,56
Carey Park,2019,62
Carey Park,2020,60
Carey Park,2021,78
Carey Park,2022,17
Carroll Heights,2009,69
Carroll Heights,2010,73
Carroll Heights,2011,81
Carroll Heights,2012,73
Carroll Heights,2013,77
Carroll Heights,2014,56
Carroll Heights,2015,57
Carroll Heights,2016,47
Carroll Heights,2017,46
Carroll Heights,2018,45
Carroll Heights,2019,29
Carroll Heights,2020,37
Carroll Heights,2021,28
Carroll Heights,2022,4
Carver Hills,2009,66
Carver Hills,2010,58
Carver Hills,2011,72
Carver Hills,2012,48
Carver Hills,2013,39
Carver Hills,2014,37
Carver Hills,2015,35
Carver Hills,2016,28
Carver Hills,2017,30
Carver Hills,2018,28
Carver Hills,2019,41
Carver Hills,2020,24
Carver Hills,2021,19
Carver Hills,2022,7
Cascade Avenue/Road,2009,206
Cascade Avenue/Road,2010,251
Cascade Avenue/Road,2011,206
Cascade Avenue/Road,2012,172
Cascade Avenue/Road,2013,190
Cascade Avenue/Road,2014,162
Cascade Avenue/Road,2015,142
Cascade Avenue/Road,2016,143
Cascade Avenue/Road,2017,137
Cascade Avenue/Road,2018,140
Cascade Avenue/Road,2019,134
Cascade Avenue/Road,2020,99
Cascade Avenue/Road,2021,90
Cascade Avenue/Road,2022,23
Cascade Green,2009,9
Cascade Green,2010,11
Cascade Green,2011,13
Cascade Green,2012,8
Cascade Green,2013,4
Cascade Green,2014,10
Cascade Green,2015,10
Cascade Green,2016,19
Cascade Green,2017,7
Cascade Green,2018,6
Cascade Green,2019,2
Cascade Green,2020,3
Cascade Heights,2009,66
Cascade Heights,2010,66
Cascade Heights,2011,52
Cascade Heights,2012,37
Cascade Heights,2013,58
Cascade Heights,2014,39
Cascade Heights,2015,48
Cascade Heights,2016,52
Cascade Heights,2017,100
Cascade Heights,2018,39
Cascade Heights,2019,30
Cascade Heights,2020,35
Cascade Heights,2021,19
Cascade Heights,2022,4
Castleberry Hill,2009,333
Castleberry Hill,2010,300
Castleberry Hill,2011,303
Castleberry Hill,2012,345
Castleberry Hill,2013,334
Castleberry Hill,2014,364
Castleberry Hill,2015,304
Castleberry Hill,2016,293
Castleberry Hill,2017,299
Castleberry Hill,2018,359
Castleberry Hill,2019,310
Castleberry Hill,2020,307
Castleberry Hill,2021,353
Castleberry Hill,2022,68
Castlewood,2009,5
Castlewood,2010,4
Castlewood,2011,12
Castlewood,2012,12
Castlewood,2013,10
Castlewood,2014,13
Castlewood,2015,12
Castlewood,2016,10
Castlewood,2017,6
Castlewood,2018,4
Castlewood,2019,2
Castlewood,2020,7
Castlewood,2021,5
Center Hill,2009,405
Center Hill,2010,403
Center Hill,2011,393
Center Hill,2012,319
Center Hill,2013,218
Center Hill,2014,258
Center Hill,2015,260
Center Hill,2016,253
Center Hill,2017,214
Center Hill,2018,157
Center Hill,2019,135
Center Hill,2020,103
Center Hill,2021,95
Center Hill,2022,19
Chalet Woods,2009,13
Chalet Woods,2010,13
Chalet Woods,2011,9
Chalet Woods,2012,5
Chalet Woods,2013,4
Chalet Woods,2014,10
Chalet Woods,2015,3
Chalet Woods,2016,4
Chalet Woods,2017,5
Chalet Woods,2018,3
Chalet Woods,2019,3
Chalet Woods,2020,1
Channing Valley,2009,50
Channing Valley,2010,32
Channing Valley,2011,38
Channing Valley,2012,47
Channing Valley,2013,56
Channing Valley,2014,44
Channing Valley,2015,36
Channing Valley,2016,50
Channing Valley,2017,31
Channing Valley,2018,39
Channing Valley,2019,50
Channing Valley,2020,20
Channing Valley,2021,22
Channing Valley,2022,5
Chastain Park,2009,66
Chastain Park,2010,47
Chastain Park,2011,69
Chastain Park,2012,67
Chastain Park,2013,80
Chastain Park,2014,60
Chastain Park,2015,30
Chastain Park,2016,62
Chastain Park,2017,29
Chastain Park,2018,29
Chastain Park,2019,21
Chastain Park,2020,52
Chastain Park,2021,27
Chastain Park,2022,9
Chattahoochee,2009,1
Chattahoochee,2010,2
Chattahoochee,2011,2
Chattahoochee,2012,1
Chattahoochee,2013,1
Chattahoochee,2014,4
Chattahoochee,2016,1
Chattahoochee,2017,1
Chattahoochee,2019,1
Chattahoochee,2021,1
Chattahoochee,2022,1
Chosewood Park,2009,216
Chosewood Park,2010,181
Chosewood Park,2011,166
Chosewood Park,2012,91
Chosewood Park,2013,108
Chosewood Park,2014,99
Chosewood Park,2015,73
Chosewood Park,2016,85
Chosewood Park,2017,96
Chosewood Park,2018,70
Chosewood Park,2019,73
Chosewood Park,2020,69
Chosewood Park,2021,41
Chosewood Park,2022,13
Collier Heights,2009,366
Collier Heights,2010,374
Collier Heights,2011,374
Collier Heights,2012,354
Collier Heights,2013,271
Collier Heights,2014,309
Collier Heights,2015,287
Collier Heights,2016,381
Collier Heights,2017,253
Collier Heights,2018,185
Collier Heights,2019,165
Collier Heights,2020,137
Collier Heights,2021,205
Collier Heights,2022,62
Collier Hills,2009,27
Collier Hills,2010,16
Collier Hills,2011,16
Collier Hills,2012,15
Collier Hills,2013,17
